##NAMES=Karibibite
##RRUFFID=R060307
##IDEAL CHEMISTRY=Fe^3+^_3_(As^3+^O_2_)_4_(As^3+^_2_O_5_)(OH)
##LOCALITY=Urucum, Municipio de Galilea, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellowish-brown acicular crystals lining cavities
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060307
5.680000, 0.0000000E+00
5.710000, 13.55688
5.740000, 7.967773
5.770000, 25.41870
5.800000, 34.67090
5.830000, 36.56592
5.860000, 37.58154
5.890000, 36.25903
5.920000, 27.93115
5.950000, 38.11157
5.980000, 41.46924
6.010000, 41.48340
6.040000, 64.46216
6.070000, 112.5994
6.100000, 204.8560
6.130000, 341.7795
6.160000, 485.3076
6.190000, 674.7864
6.220000, 890.9922
6.250000, 1095.901
6.280000, 1313.028
6.310000, 1494.233
6.340000, 1665.023
6.370000, 1761.209
6.400000, 1758.682
6.430000, 1670.594
6.460000, 1537.212
6.490000, 1362.977
6.520000, 1186.819
6.550000, 987.2371
6.580000, 815.0420
6.610000, 629.1516
6.640000, 460.0847
6.670000, 321.0295
6.700000, 223.5947
6.730000, 129.1736
6.760000, 71.53882
6.790000, 39.39062
6.820000, 13.53687
6.850000, 10.72339
6.880000, 8.301025
6.910000, 3.320557
6.940000, 2.429932
6.970000, 2.520264
7.000000, 14.84277
7.030000, 23.09717
7.060000, 23.94385
7.090000, 19.08569
7.120000, 7.915527
7.150000, 9.480957
7.180000, 28.79248
7.210000, 59.50977
7.240000, 75.31299
7.270000, 81.81152
7.300000, 110.8660
7.330000, 145.0657
7.360000, 183.9907
7.390000, 229.1113
7.420000, 260.5469
7.450000, 270.8376
7.480000, 288.1780
7.510000, 300.6960
7.540000, 306.6250
7.570000, 284.6750
7.600000, 265.0569
7.630000, 254.2498
7.660000, 232.3330
7.690000, 192.8352
7.720000, 159.4656
7.750000, 129.6025
7.780000, 97.69629
7.810000, 72.21289
7.840000, 54.39185
7.870000, 28.93188
7.900000, 0.8332520
7.930000, 23.74292
7.960000, 28.43628
7.990000, 13.22607
8.020000, 10.59229
8.050000, 10.45508
8.080000, 0.9626460
8.110000, 5.805176
8.140000, 29.00415
8.170000, 53.58325
8.200000, 76.52588
8.230000, 116.2581
8.260000, 162.5703
8.290000, 205.9231
8.320000, 257.7769
8.350000, 295.4988
8.380000, 364.6018
8.410000, 416.2957
8.440000, 468.4993
8.470000, 500.8035
8.500000, 508.4570
8.530000, 519.4514
8.560000, 530.2556
8.590000, 543.8298
8.620000, 554.7520
8.650000, 524.6655
8.680000, 502.4663
8.710000, 488.1873
8.740000, 463.6885
8.770000, 418.0398
8.800000, 373.5908
8.830000, 353.3723
8.860000, 330.8235
8.890000, 307.8147
