##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
##CELL PARAMETERS=a: 8.1297(1) b: 8.1297(1) c: 8.1297(1) alpha: 90 beta: 90 gamma: 90 volume: 537.31(2) crystal system: cubic
5.000000, 0.0000000E+00
5.010000, 12.23986
5.020000, 11.61949
5.030000, 6.6924997E-02
5.040000, 6.610916
5.050000, 11.16010
5.060000, 13.78807
5.070000, 3.670380
5.080000, 32.85552
5.090000, 1.988937
5.100000, 13.71059
5.110000, 20.67509
5.120000, 16.66774
5.130000, 8.658707
5.140000, 0.1357880
5.150000, 17.82787
5.160000, 12.78986
5.170000, 23.75850
5.180000, 17.73622
5.190000, 22.78067
5.200000, 1.235619
5.210000, 9.723732
5.220000, 21.31273
5.230000, 21.28728
5.240000, 24.38101
5.250000, 29.34151
5.260000, 10.34489
5.270000, 2.322716
5.280000, 11.26993
5.290000, 11.21473
5.300000, 9.157509
5.310000, 7.098755
5.320000, 18.03878
5.330000, 10.01340
5.340000, 18.37721
5.350000, 23.35535
5.360000, 16.29852
5.370000, 17.24012
5.380000, 4.196754
5.390000, 6.135727
5.400000, 36.07396
5.410000, 33.01157
5.420000, 26.94857
5.430000, 15.88503
5.440000, 1.178833
5.450000, 29.88394
5.460000, 13.81862
5.470000, 4.731979
5.480000, 3.699593
5.490000, 20.61389
5.500000, 14.52892
5.510000, 4.446907
5.520000, 21.37823
5.530000, 20.29913
5.540000, 5.220390
5.550000, 22.14207
5.560000, 23.06583
5.570000, 14.99155
5.580000, 38.91765
5.590000, 18.84462
5.600000, 22.77431
5.610000, 24.70666
5.620000, 19.63986
5.630000, 17.57430
5.640000, 15.50936
5.650000, 23.44469
5.660000, 3.380569
5.670000, 0.9043660
5.680000, 27.02023
5.690000, 12.94574
5.700000, 3.870995
5.710000, 18.79600
5.720000, 14.72173
5.730000, 18.64815
5.740000, 8.574890
5.750000, 20.50389
5.760000, 4.435051
5.770000, 10.36987
5.780000, 9.305168
5.790000, 20.24089
5.800000, 28.17699
5.810000, 22.11359
5.820000, 24.04996
5.830000, 17.98605
5.840000, 12.92233
5.850000, 7.858932
5.860000, 10.79585
5.870000, 11.73742
5.880000, 38.67509
5.890000, 6.386757
5.900000, 17.55183
5.910000, 2.490868
5.920000, 31.43037
5.930000, 15.41718
5.940000, 21.40958
5.950000, 14.34785
5.960000, 0.2896730
5.970000, 22.23187
5.980000, 14.17446
5.990000, 19.11742
6.000000, 10.06077
6.010000, 8.004532
6.020000, 9.164749
6.030000, 19.10722
6.040000, 3.050110
6.050000, 6.989296
6.060000, 22.92888
6.070000, 20.86897
6.080000, 14.80944
6.090000, 12.75205
6.100000, 9.696838
6.110000, 26.64204
6.120000, 13.75309
6.130000, 4.697586
6.140000, 25.64250
6.150000, 6.587830
6.160000, 4.533569
6.170000, 21.47971
6.180000, 17.47746
6.190000, 10.47716
6.200000, 11.52334
6.210000, 12.54771
6.220000, 23.54958
6.230000, 4.495125
6.240000, 10.48469
6.250000, 6.467819
6.260000, 10.44838
6.270000, 25.40403
6.280000, 26.37590
6.290000, 28.31673
6.300000, 11.28079
6.310000, 11.24506
6.320000, 12.20940
6.330000, 15.19485
