##NAMES=Cyanotrichite
##RRUFFID=R070500
##IDEAL CHEMISTRY=Cu^2+^_4_Al_2_S^6+^O_4_(OH)_12_&#183;2H_2_O
##LOCALITY=Vieja mine, Portrerillos, Chanaral Province, Atacama Region, Chile
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Radial aggregates of sky-blue fibers associated with green brochantite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070500
4.460000, 0.0000000E+00
4.490000, 4.5967001E-02
4.520000, 1.490982
4.550000, 1.835785
4.580000, 5.361061
4.610000, 5.869797
4.640000, 6.865501
4.670000, 7.731285
4.700000, 13.61884
4.730000, 16.72589
4.760000, 12.98592
4.790000, 5.563545
4.820000, 1.144218
4.850000, 8.595543
4.880000, 12.29105
4.910000, 12.37711
4.940000, 12.18491
4.970000, 11.83902
5.000000, 5.826904
5.030000, 3.067200
5.060000, 4.548256
5.090000, 5.483986
5.120000, 4.667534
5.150000, 0.8520430
5.180000, 1.065025
5.210000, 2.390060
5.240000, 2.798782
5.270000, 5.571846
5.300000, 14.71894
5.330000, 12.65480
5.360000, 14.18216
5.390000, 19.97268
5.420000, 15.52997
5.450000, 9.930710
5.480000, 11.67363
5.510000, 15.66348
5.540000, 16.62403
5.570000, 10.75605
5.600000, 4.055496
5.630000, 0.8167570
5.660000, 2.042046
5.690000, 5.444946
5.720000, 1.570763
5.750000, 0.6972050
5.780000, 2.716675
5.810000, 0.8855820
5.840000, 2.775871
5.870000, 5.042465
5.900000, 8.818321
5.930000, 14.82539
5.960000, 17.99160
5.990000, 16.82093
6.020000, 14.09632
6.050000, 15.28474
6.080000, 18.47714
6.110000, 21.20348
6.140000, 25.07371
6.170000, 24.70282
6.200000, 26.61236
6.230000, 21.23849
6.260000, 27.72459
6.290000, 25.98691
6.320000, 26.70963
6.350000, 29.98488
6.380000, 31.23363
6.410000, 35.36897
6.440000, 33.32386
6.470000, 29.21426
6.500000, 31.54314
6.530000, 30.13860
6.560000, 27.96057
6.590000, 27.72683
6.620000, 26.01913
6.650000, 20.93576
6.680000, 23.45242
6.710000, 20.88071
6.740000, 19.06676
6.770000, 24.34425
6.800000, 29.14722
6.830000, 30.78981
6.860000, 32.55861
6.890000, 26.91450
6.920000, 25.26256
6.950000, 27.70526
6.980000, 26.97662
7.010000, 25.13263
7.040000, 23.72829
7.070000, 21.35060
7.100000, 20.56155
7.130000, 26.16216
7.160000, 34.05238
7.190000, 38.37624
7.220000, 45.15874
7.250000, 55.44284
7.280000, 58.39157
7.310000, 59.09392
7.340000, 58.25684
7.370000, 49.71335
7.400000, 45.45549
7.430000, 42.01019
7.460000, 39.36346
7.490000, 46.43230
7.520000, 62.81870
7.550000, 76.32964
7.580000, 85.63612
7.610000, 93.98116
7.640000, 93.25070
7.670000, 83.45878
7.700000, 77.86834
7.730000, 73.68244
7.760000, 76.15499
7.790000, 83.07802
7.820000, 93.84855
7.850000, 102.9965
7.880000, 112.3169
7.910000, 124.1978
7.940000, 122.8541
7.970000, 109.4398
8.000000, 93.02096
8.030000, 75.67750
8.060000, 58.95024
8.090000, 50.59958
8.120000, 46.67317
8.150000, 44.19557
8.180000, 38.54910
8.210000, 31.93449
8.240000, 27.02524
8.270000, 25.46820
8.300000, 27.18364
8.330000, 30.19070
8.360000, 31.78201
8.390000, 33.22641
8.420000, 26.04636
8.450000, 22.05891
8.480000, 25.83925
8.510000, 26.28967
8.540000, 30.20613
8.570000, 32.43658
8.600000, 29.39970
8.630000, 27.71642
8.660000, 26.75977
8.690000, 23.93346
8.720000, 26.02289
8.750000, 28.20003
8.780000, 26.40113
8.810000, 23.14221
8.840000, 23.23634
8.870000, 27.27813
8.900000, 29.66730
8.930000, 30.54295
8.960000, 29.14461
8.990000, 28.29242
9.020000, 26.55757
9.050000, 26.90669
9.080000, 25.62985
9.110000, 25.03313
9.140000, 24.72962
9.170000, 23.86340
9.200000, 22.75523
9.230000, 24.35527
9.260000, 19.52287
9.290000, 16.72191
9.320000, 13.91209
9.350000, 14.22520
9.380000, 13.92550
9.410000, 16.32697
9.440000, 22.18858
9.470000, 24.31534
9.500000, 22.58922
9.530000, 23.22321
9.560000, 22.42032
9.590000, 20.26949
9.620000, 17.33675
9.650000, 11.71707
9.680000, 8.449455
9.710000, 11.02687
9.740000, 9.575142
9.770000, 15.03181
