##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
##CELL PARAMETERS=a: 8.891(1) b: 5.6995(3) c: 10.228(2) alpha: 90 beta: 114.99(1) gamma: 90 volume: 469.72(9) crystal system: monoclinic
5.000000, 0.0000000E+00
5.010000, 7.624546
5.020000, 8.850363
5.030000, 11.54185
5.040000, 16.77676
5.050000, 14.96319
5.060000, 2.627192
5.070000, 6.358334
5.080000, 6.133717
5.090000, 9.940647
5.100000, 1.227619
5.110000, 6.623444
5.120000, 9.574654
5.130000, 12.51978
5.140000, 12.46458
5.150000, 7.410660
5.160000, 8.358194
5.170000, 3.307320
5.180000, 9.258099
5.190000, 3.217896
5.200000, 10.17835
5.210000, 4.139656
5.220000, 3.101974
5.230000, 7.116848
5.240000, 4.039024
5.250000, 8.965973
5.260000, 2.897408
5.270000, 11.86355
5.280000, 1.830664
5.290000, 6.798952
5.300000, 5.768414
5.310000, 6.739094
5.320000, 18.71110
5.330000, 7.684338
5.340000, 12.65872
5.350000, 15.63424
5.360000, 5.610868
5.370000, 4.711571
5.380000, 5.687220
5.390000, 13.66410
5.400000, 8.642197
5.410000, 14.62146
5.420000, 9.601801
5.430000, 1.583151
5.440000, 14.56751
5.450000, 9.554745
5.460000, 3.457220
5.470000, 22.53164
5.480000, 19.52133
5.490000, 4.511797
5.500000, 9.503040
5.510000, 1.496960
5.520000, 10.49152
5.530000, 3.317146
5.540000, 10.30024
5.550000, 10.28683
5.560000, 10.27625
5.570000, 5.266514
5.580000, 5.257549
5.590000, 8.249344
5.600000, 10.24188
5.610000, 15.23523
5.620000, 13.23249
5.630000, 11.23016
5.640000, 1.228247
5.650000, 10.22606
5.660000, 9.223679
5.670000, 6.221909
5.680000, 3.220760
5.690000, 12.22024
5.700000, 12.22036
5.710000, 14.22115
5.720000, 16.22249
5.730000, 0.7753450
5.740000, 6.227352
5.750000, 18.23058
5.760000, 8.234337
5.770000, 2.238625
5.780000, 11.24343
5.790000, 14.24876
5.800000, 10.25457
5.810000, 6.260889
5.820000, 5.267696
5.830000, 10.27372
5.840000, 7.278997
5.850000, 10.28481
5.860000, 3.291161
5.870000, 16.29797
5.880000, 8.474991
5.890000, 14.48321
5.900000, 3.491838
5.910000, 7.500870
5.920000, 21.51072
5.930000, 1.521387
5.940000, 4.532528
5.950000, 11.54404
5.960000, 11.55592
5.970000, 16.56772
5.980000, 6.579914
5.990000, 6.592497
6.000000, 6.605457
6.010000, 4.709011
6.020000, 4.721832
6.030000, 11.73503
6.040000, 16.74860
6.050000, 14.76253
6.060000, 6.222967
6.070000, 11.79188
6.080000, 1.069334
6.090000, 7.083086
6.100000, 16.09909
6.110000, 11.21181
6.120000, 8.228188
6.130000, 13.24347
6.140000, 15.25770
6.150000, 13.27223
6.160000, 4.287039
6.170000, 16.30215
6.180000, 8.317539
6.190000, 6.333214
6.200000, 11.35513
6.210000, 8.379742
6.220000, 7.404070
6.230000, 17.61463
