##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O)^1+^_3_Mg_6_Fe^3+^_15_(S^6+^O_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
5.470000, 0.0000000E+00
5.490000, 11.17026
5.510000, 59.36560
5.530000, 129.9696
5.550000, 225.5680
5.570000, 334.9863
5.590000, 453.2927
5.610000, 575.8181
5.630000, 690.5428
5.650000, 801.9777
5.670000, 907.0236
5.690000, 1009.622
5.710000, 1089.900
5.730000, 1150.664
5.750000, 1171.880
5.770000, 1156.940
5.790000, 1105.839
5.810000, 1043.310
5.830000, 961.9299
5.850000, 865.3825
5.870000, 769.9929
5.890000, 671.3286
5.910000, 559.7673
5.930000, 447.4653
5.950000, 337.4057
5.970000, 234.4209
5.990000, 156.8119
6.010000, 102.3435
6.030000, 74.87292
6.050000, 57.30484
6.070000, 36.78021
6.090000, 18.63406
6.110000, 8.657318
6.130000, 4.546570
6.150000, 0.2769470
6.170000, 2.452332
6.190000, 5.120453
6.210000, 11.72849
6.230000, 15.68436
6.250000, 19.93375
6.270000, 23.05264
6.290000, 22.82388
6.310000, 24.20026
6.330000, 19.73328
6.350000, 14.40707
6.370000, 10.45786
6.390000, 4.031860
6.410000, 1.204620
6.430000, 8.920593
6.450000, 26.51624
6.470000, 43.94238
6.490000, 50.37262
6.510000, 64.39661
6.530000, 91.78940
6.550000, 121.5088
6.570000, 159.6060
6.590000, 192.6641
6.610000, 212.4890
6.630000, 234.5085
6.650000, 249.5290
6.670000, 257.3808
6.690000, 265.3864
6.710000, 265.2178
6.730000, 259.8731
6.750000, 257.5874
6.770000, 262.0252
6.790000, 274.1725
6.810000, 304.9474
6.830000, 348.2467
6.850000, 419.5540
6.870000, 537.6574
6.890000, 703.0801
6.910000, 912.2964
6.930000, 1170.783
6.950000, 1458.810
6.970000, 1785.758
6.990000, 2095.518
7.010000, 2401.907
7.030000, 2688.496
7.050000, 2912.286
7.070000, 3078.292
7.090000, 3162.852
7.110000, 3154.635
7.130000, 3049.405
7.150000, 2860.318
7.170000, 2633.478
7.190000, 2366.242
7.210000, 2062.331
7.230000, 1744.557
7.250000, 1429.477
7.270000, 1162.102
7.290000, 916.7417
7.310000, 715.6042
7.330000, 551.9297
7.350000, 422.9087
7.370000, 327.3468
7.390000, 256.5845
7.410000, 213.1549
7.430000, 177.7176
7.450000, 152.3718
7.470000, 137.4075
7.490000, 127.8664
7.510000, 122.8179
7.530000, 113.3710
7.550000, 102.9735
7.570000, 94.79684
7.590000, 86.02664
7.610000, 85.05597
7.630000, 81.71780
7.650000, 85.61890
7.670000, 83.79941
7.690000, 83.43365
7.710000, 87.27740
7.730000, 87.21292
7.750000, 79.13016
7.770000, 72.87881
7.790000, 62.50687
7.810000, 52.88928
7.830000, 48.34927
7.850000, 45.60385
7.870000, 39.35965
7.890000, 35.43622
7.910000, 31.21838
7.930000, 32.95554
7.950000, 33.66742
7.970000, 32.18695
7.990000, 32.98370
8.010000, 30.97491
8.030000, 30.21487
8.050000, 26.24905
8.070000, 24.30374
8.090000, 20.28302
8.110000, 22.77612
8.130000, 25.90244
8.150000, 23.35422
8.170000, 25.52444
8.190000, 34.44180
8.210000, 49.48474
8.230000, 63.81406
8.250000, 78.14938
8.270000, 85.15408
8.290000, 89.53683
8.310000, 88.53610
8.330000, 87.47574
8.350000, 92.13864
8.370000, 97.98709
8.390000, 96.35950
8.410000, 95.13745
8.430000, 91.89841
8.450000, 84.06601
8.470000, 79.58591
8.490000, 72.11581
8.510000, 63.69339
8.530000, 55.96805
8.550000, 50.05701
8.570000, 44.87204
8.590000, 34.19742
8.610000, 37.35788
8.630000, 36.01508
8.650000, 33.66760
8.670000, 39.36856
8.690000, 40.58157
8.710000, 36.44635
8.730000, 41.49927
8.750000, 39.65240
8.770000, 35.93069
8.790000, 31.82312
8.810000, 28.02069
8.830000, 28.36377
8.850000, 33.85519
8.870000, 31.61511
8.890000, 24.65460
8.910000, 15.70175
8.930000, 14.41861
8.950000, 13.18396
8.970000, 4.515533
8.990000, 3.101990
9.010000, 11.50238
9.030000, 13.44449
9.050000, 20.42227
9.070000, 13.59186
9.090000, 8.098572
9.110000, 2.928955
9.130000, 4.565643
9.150000, 6.485077
9.170000, 6.649384
9.190000, 9.234009
9.210000, 11.67438
9.230000, 12.27835
9.250000, 15.32291
9.270000, 14.38687
9.290000, 13.76187
9.310000, 9.587769
9.330000, 5.735260
9.350000, 6.870331
9.370000, 1.147125
9.390000, 3.106873
9.410000, 8.383789
9.430000, 14.85840
9.450000, 24.06277
9.470000, 31.87820
9.490000, 38.21194
9.510000, 42.21490
9.530000, 44.49924
9.550000, 44.21704
9.570000, 39.31934
9.590000, 25.75894
9.610000, 17.04633
9.630000, 13.77542
9.650000, 11.04654
9.670000, 11.03983
9.690000, 9.441772
9.710000, 5.561676
9.730000, 6.059937
9.750000, 1.467407
9.770000, 8.897278
9.790000, 10.64615
9.810000, 12.14069
9.830000, 12.02328
9.850000, 13.78159
9.870000, 11.00250
9.890000, 4.240204
9.910000, 5.161133
9.930000, 13.95676
9.950000, 21.17783
9.970000, 34.23746
9.990000, 42.43930
10.01000, 57.27029
10.03000, 64.23920
10.05000, 69.62979
10.07000, 84.16537
10.09000, 98.73224
10.11000, 118.8704
10.13000, 144.5571
10.15000, 172.2947
10.17000, 208.0165
10.19000, 247.7164
10.21000, 291.3087
10.23000, 338.2265
10.25000, 382.8767
10.27000, 433.9185
10.29000, 469.9482
10.31000, 505.3289
10.33000, 530.0106
10.35000, 547.9161
10.37000, 541.8208
10.39000, 518.3027
10.41000, 493.3223
10.43000, 451.8457
10.45000, 398.2679
10.47000, 327.7669
10.49000, 242.7830
10.51000, 175.9473
10.53000, 112.3058
10.55000, 67.15408
