##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
##CELL PARAMETERS=a: 6.9500(3) b: 8.6352(7) c: 5.7641(6) alpha: 90. beta: 104.883(6) gamma: 90. volume: 334.33(4) crystal system: monoclinic
5.000, 0.000
5.010, 11.111
5.020, 0.478
5.030, 3.991
5.040, 6.468
5.050, 10.750
5.060, 5.275
5.070, 9.437
5.080, 4.360
5.090, 10.345
5.100, 11.308
5.110, 0.728
5.120, 2.237
5.130, 6.205
5.140, 0.200
5.150, 19.192
5.160, 13.183
5.170, 1.450
5.180, 10.426
5.190, 12.403
5.200, 10.382
5.210, 4.363
5.220, 8.346
5.230, 3.329
5.240, 4.315
5.250, 3.302
5.260, 11.290
5.270, 3.650
5.280, 6.628
5.290, 2.615
5.300, 7.598
5.310, 10.582
5.320, 13.569
5.330, 0.443
5.340, 13.557
5.350, 7.558
5.360, 5.559
5.370, 1.561
5.380, 6.563
5.390, 5.566
5.400, 6.569
5.410, 6.572
5.420, 11.576
5.430, 3.580
5.440, 11.584
5.450, 8.589
5.460, 2.594
5.470, 8.601
5.480, 8.609
5.490, 9.617
5.500, 16.629
5.510, 10.640
5.520, 8.654
5.530, 1.331
5.540, 17.682
5.550, 7.695
5.560, 16.708
5.570, 6.722
5.580, 0.739
5.590, 5.755
5.600, 2.771
5.610, 7.787
5.620, 5.805
5.630, 2.822
5.640, 3.839
5.650, 8.856
5.660, 5.872
5.670, 6.263
5.680, 12.273
5.690, 7.284
5.700, 9.294
5.710, 10.304
5.720, 2.315
5.730, 17.326
5.740, 9.351
5.750, 10.362
5.760, 13.373
5.770, 11.383
5.780, 13.395
5.790, 11.408
5.800, 9.420
5.810, 10.432
5.820, 8.444
5.830, 16.463
5.840, 10.475
5.850, 8.488
5.860, 9.501
5.870, 6.512
5.880, 8.524
5.890, 8.536
5.900, 12.549
5.910, 13.561
5.920, 6.577
5.930, 3.707
5.940, 13.721
5.950, 11.733
5.960, 11.745
5.970, 15.756
5.980, 7.768
5.990, 0.800
6.000, 8.814
6.010, 3.839
6.020, 6.082
6.030, 15.091
6.040, 10.109
6.050, 8.119
6.060, 1.129
6.070, 8.139
6.080, 9.150
6.090, 7.160
6.100, 3.171
6.110, 6.182
6.120, 11.193
6.130, 7.206
6.140, 1.434
6.150, 7.445
6.160, 11.456
6.170, 13.470
6.180, 15.484
6.190, 15.495
6.200, 8.524
6.210, 5.553
6.220, 10.580
6.230, 12.632
6.240, 10.656
6.250, 8.679
6.260, 7.695
6.270, 9.711
6.280, 8.728
6.290, 9.745
6.300, 6.762
6.310, 16.707
6.320, 9.725
6.330, 6.743
6.340, 3.252
6.350, 15.766
6.360, 13.784
6.370, 8.799
6.380, 2.816
6.390, 8.833
6.400, 12.850
6.410, 6.868
6.420, 8.886
6.430, 3.904
6.440, 5.922
6.450, 4.940
6.460, 15.958
6.470, 11.975
6.480, 0.008
6.490, 6.009
6.500, 8.027
6.510, 7.044
6.520, 6.062
6.530, 8.045
6.540, 10.069
6.550, 4.087
6.560, 1.105
6.570, 1.123
6.580, 6.204
6.590, 8.222
6.600, 7.240
6.610, 8.259
6.620, 4.277
6.630, 1.295
6.640, 7.314
6.650, 0.332
6.660, 4.351
6.670, 5.369
6.680, 5.388
6.690, 6.406
6.700, 8.425
6.710, 4.444
6.720, 6.462
6.730, 8.396
6.740, 11.415
6.750, 3.433
6.760, 3.452
6.770, 2.471
6.780, 7.488
6.790, 10.506
6.800, 1.528
6.810, 9.547
6.820, 1.566
6.830, 0.584
6.840, 6.603
6.850, 1.379
6.860, 3.639
6.870, 0.656
6.880, 5.673
6.890, 7.689
6.900, 4.706
6.910, 4.723
6.920, 2.740
6.930, 7.757
6.940, 8.774
6.950, 1.790
6.960, 10.807
6.970, 0.824
6.980, 0.159
6.990, 4.858
7.000, 0.875
7.010, 4.891
7.020, 0.089
7.030, 3.073
7.040, 3.943
7.050, 2.961
7.060, 7.979
7.070, 0.005
7.080, 6.011
7.090, 2.027
7.100, 5.043
7.110, 6.059
7.120, 2.074
7.130, 7.090
7.140, 13.105
7.150, 2.157
7.160, 4.172
7.170, 4.188
7.180, 5.203
7.190, 6.217
7.200, 9.232
7.210, 2.247
7.220, 9.261
7.230, 5.275
7.240, 7.509
7.250, 2.523
7.260, 5.537
